Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Librettist,Language,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Jägerlied,,,,"Schubert, Franz",D.204,IFS 375,E-flat major,"1 partsong (Muthig, freudig)
Text Incipit
Frisch auf, ihr Jäger",1815-05-26,1892,"Theodor Körner
(1791-1813)",German,,,3 minutes,Romantic,Romantic,"https://imslp.org/wiki/J%C3%A4gerlied,_D.204_(Schubert,_Franz)"
Jägers Abendlied,,,,"Schubert, Franz",D.215,IFS 935,F major,"Sehr langsam
Text Incipit
Im Felde schleich’ ich still und wild",1815 June 20,1906,"Johann Wolfgang von Goethe
(1749-1832)",German,,,3 minutes,Romantic,Romantic,"https://imslp.org/wiki/J%C3%A4gers_Abendlied,_D.215_(Schubert,_Franz)"
Jägers Abendlied,,,,"Schubert, Franz",D.368 (published as Op.3 No.4),IFS 376,D-flat major,"Sehr langsam, leise
Text Incipit
Im Felde schleich ich still und wild",1816?,1821,"Johann Wolfgang von Goethe
(1749-1832)",German,,Ignaz Edler von Mosel,2-3 minutes,Romantic,Romantic,"https://imslp.org/wiki/J%C3%A4gers_Abendlied,_D.368_(Schubert,_Franz)"
Jägers Liebeslied,,,,"Schubert, Franz",D.909 (Op.96 No.2),IFS 377,D major,Mäassig geschwind,1827 (February),1828,"Franz von Schober
(1796-1882)",German,,"Der Furstin Kinsky, geb. Freiin von Kerpen gewidmet",,Romantic,Romantic,"https://imslp.org/wiki/J%C3%A4gers_Liebeslied,_D.909_(Schubert,_Franz)"
Jesus Christus unser Heiland,,,,"Schubert, Franz",D.168a,IFS 378,E-flat major,Nicht zu langsam,9th March 1815,1872,"Friedrich Gottlieb Klopstock
(1724-1803)",German,,,1 minute,Romantic,Romantic,"https://imslp.org/wiki/Jesus_Christus_unser_Heiland,_D.168a_(Schubert,_Franz)"
Johanna Sebus,,,,"Schubert, Franz",D.728,IFS 379,D minor,Schnell,1821 (April),1895,"Johann Wolfgang von Goethe
(1749-1832)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Johanna_Sebus,_D.728_(Schubert,_Franz)"
Julius an Theone,,,,"Schubert, Franz",D.419,IFS 380,G minor,Geschwind,1816,1895,"Friedrich von Matthisson
(1761-1831)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Julius_an_Theone,_D.419_(Schubert,_Franz)"
Die junge Nonne,,,,"Schubert, Franz",D.828; Op.43 No.1,IFS 381,F minor,"Mässig
Text Incipit
Wie braust durch die Wipfel der heulende Sturm",1825,1825,"Jacob Nicolaus Craigher de Jachelutta
(1797-1855)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_junge_Nonne,_D.828_(Schubert,_Franz)"
Der Jüngling am Bache,,,,"Schubert, Franz",D.30,IFS 382,F major,Allegretto,1812 (24 September),1894,"Friedrich Schiller
(1759-1805)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_J%C3%BCngling_am_Bache,_D.30_(Schubert,_Franz)"
Der Jüngling am Bache,,,,"Schubert, Franz",D.192,IFS 383,F minor,"Mässig, erzählend, trauernd",1815 (15 May),1887,"Friedrich Schiller
(1759-1805)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_J%C3%BCngling_am_Bache,_D.192_(Schubert,_Franz)"
Der Jüngling am Bache,,,,"Schubert, Franz",D.638 (Op.87 No.3),IFS 384,"D minor (1st version)
C minor (2nd version)","Mässig
Text Incipit
An der Quelle saß der Knabe",1819 (April),1827,"Friedrich Schiller
(1759-1805)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_J%C3%BCngling_am_Bache,_D.638_(Schubert,_Franz)"
Der Jüngling an der Quelle,,,,"Schubert, Franz",D.300,IFS 385,A major,"Etwas Langsam
Text Incipit
Leise, rieselnder Quell, ihr wallenden",1821 (or possibly as early as 1816),1842,"Johann Gaudenz von Salis-Seewis
(1762-1834)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_J%C3%BCngling_an_der_Quelle,_D.300_(Schubert,_Franz)"
Der Jüngling auf dem Hügel,,,,"Schubert, Franz",D.702 (Op.8 No.1),IFS 386,E minor,Nicht zu langsam,1820 (November),1822,"Heinrich Hüttenbrenner
(1799-1830)",German,,Johann Carl Grafen Esterházy von Galantha,,Romantic,Romantic,"https://imslp.org/wiki/Der_J%C3%BCngling_auf_dem_H%C3%BCgel,_D.702_(Schubert,_Franz)"
Der Jüngling und der Tod,,,,"Schubert, Franz",D.545,IFS 387,C-sharp minor,Sehr langsam,1817 (March),1872,"Joseph von Spaun
(1788-1865)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_J%C3%BCngling_und_der_Tod,_D.545_(Schubert,_Franz)"
Kaiser Ferdinand II.,,,,"Schubert, Franz",D.Anh.I/29,IFS 989,A major,"Freudig und staunend
Text Incipit
Was reget die Stadt sich in freudiger Hast?",1809?,1853,"Karoline Pichler
(1769-1843)",German,,,11 minutes,Romantic,Romantic,"https://imslp.org/wiki/Kaiser_Ferdinand_II.,_D.Anh.I/29_(Schubert,_Franz)"
Kaiser Maximilian auf der Martinswand in Tirol,,,,"Schubert, Franz",D.990a,IFS 954,B-flat major,"1 song
Text Incipit
Hinauf! hinauf! in Sprung und Lauf",,1853,"Heinrich von Collin
(1771-1811)",German,,,30 minutes,Romantic,Romantic,"https://imslp.org/wiki/Kaiser_Maximilian_auf_der_Martinswand_in_Tirol,_D.990a_(Schubert,_Franz)"
Der Kampf,,,,"Schubert, Franz",D.594 (Op.110),IFS 388,D minor,Feurig,1817 (November),1829,"Friedrich Schiller
(1759-1805)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_Kampf,_D.594_(Schubert,_Franz)"
Kantate für Irene Kiesewetter,,,,"Schubert, Franz",D.936,IFS 389,C major,Allegro moderato,26th December 1827,1892,unknown,Italian,,,,Romantic,Romantic,"https://imslp.org/wiki/Kantate_f%C3%BCr_Irene_Kiesewetter,_D.936_(Schubert,_Franz)"
Kantate zu Ehren von Josef Spendou,,,,"Schubert, Franz",D.472 ; Op.128,IFS 390,,1 cantata,"September 1816
First Perf
ormance
.
Probably January 22, 1817",1830 (vocal score); 1892 (full score),"Johann Baptist Hoheisel
(1767-1841)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Kantate_zu_Ehren_von_Josef_Spendou,_D.472_(Schubert,_Franz)"
"Cantate zum Geburtstag des Sängers Michael Vogl, D.666 (Op.158)",,,,"Schubert, Franz",D.666 (Op.158),IFS 391,C major,"4 movements:
""Sänger, der von Herzen singet"" (Trio)
""Diese Berge sah'n dich blühen"" (Soprano - Aria)
""Da saht ihr Orestes scheiden"" (Tenor/Soprano - Verses)
""Gott bewahr' dein teures Leben"" (Trio - Finale, imitating)",August 1819,"1849, with another text: ""Der Frühlingsmorgen""","Albert Stadler
(1794-1888)",German,,Johann Michael Vogl,,Romantic,Romantic,"https://imslp.org/wiki/Kantate_zum_Geburtstag_des_S%C3%A4ngers_Johann_Michael_Vogl,_D.666_(Schubert,_Franz)"
"Kindermarsch, D.928",,,,"Schubert, Franz",D.928,IFS 392,G major,1 march,,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Kindermarsch,_D.928_(Schubert,_Franz)"
Klage der Ceres,,,,"Schubert, Franz",D.323,IFS 393,G major,Etwas geschwind,1815-16 (November-June),1895,"Friedrich Schiller
(1759-1805)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Klage_der_Ceres,_D.323_(Schubert,_Franz)"
Klage um Ali Bey,,,,"Schubert, Franz",D.140 (1st version); D.496a (2nd version),IFS 394,E-flat minor (both versions),"1 partsong (2 versions; 2nd version for voice and piano)
Klagend (both versions)
Text Incipit
Lasst mich! Lasst mich! ich will klagen","1815 (1st version)
1816 November? (2nd version)","1850 (1st version)
1968 (2nd version)","Matthias Claudius
(1740-1815)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Klage_um_Ali_Bey,_D.140_(Schubert,_Franz)"
Klage (Trauer umfliesst mein Leben),,,,"Schubert, Franz","D.371 (1st version, formerly D.292)",IFS 395,B minor (both versions),Langsam,1816 (January),1872,"Poet unknown; formerly attributed to
Ludwig Christoph Heinrich Hölty
(1748-1776)",German,,,2-3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Klage,_D.371_(Schubert,_Franz)"
Klage,,,,"Schubert, Franz",D.415,IFS 396,C major,Ruhig,1816,1895,"Friedrich von Matthisson
(1761-1831)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Klage,_D.415_(Schubert,_Franz)"
Klage,,,,"Schubert, Franz",D.436,IFS 397,D minor,Mässig,1816,1850,"Ludwig Christoph Heinrich Hölty
(1748-1776)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Klage,_D.436_(Schubert,_Franz)"
Klage (Nimmer länger trag' ich),,,,"Schubert, Franz",D.Anh.I/28 (formerly D.512),IFS 990,G minor/G major,"1 song (Unruhig und etwas schnell - Etwas langsamer)
Text Incipit
Nimmer länger trag' ich dieser Leiden Last",1817 ca.,1967,unknown,German,,,2 minutes,Romantic,Romantic,"https://imslp.org/wiki/Klage,_D.Anh.I/28_(Schubert,_Franz)"
Klaglied,,,,"Schubert, Franz",D.23 (Op.131 No.3),IFS 398,G minor,"Langsam, mit Ausdruck",1812,1830,"Friedrich Rochlitz
(1769–1842)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Klaglied,_D.23_(Schubert,_Franz)"
3 Piano Pieces,,,,"Schubert, Franz",D.946,IFS 400,,"3 pieces:
Allegro assai
Allegretto
Allegro",,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/3_Klavierst%C3%BCcke,_D.946_(Schubert,_Franz)"
Der Knabe in der Wiege,,,,"Schubert, Franz",D.579,IFS 401,"C major (1st version)
A-flat major (2nd version)","1 song (2 versions):
Etwas lebhaft (1st version)
Etwas bewegt (2nd version)
Text Incipit
Er schläft so süss",1817 November (both versions),"1872 (1st version)
1894 (2nd version)","Anton Ottenwalt
(1789-1845)",German,,,"2-3 minutes (1st version)
1-2 minutes (2nd version)",Romantic,Romantic,"https://imslp.org/wiki/Der_Knabe_in_der_Wiege,_D.579_(Schubert,_Franz)"
Der Knabe,,,,"Schubert, Franz",D.692,IFS 402,A major,Heiter,1820,1872,"Friedrich Schlegel
(1772-1829)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_Knabe,_D.692_(Schubert,_Franz)"
Die Knabenzeit,,,,"Schubert, Franz",D.400,IFS 403,A major,1 song,1816,1895,"Ludwig Christoph Heinrich Hölty
(1748-1776)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Knabenzeit,_D.400_(Schubert,_Franz)"
Kolmas Klage,,,,"Schubert, Franz",D.217,IFS 404,C minor,"Ziemlich langsam
Text Incipit
Rund um mich Nacht!",1815 (21 June),1830,"James Macpherson
(1736-1796) (""Ossian"")
Edmund von Harold
(1737–1808), German translation",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Kolmas_Klage,_D.217_(Schubert,_Franz)"
"Der König in Thule, D.367",,,,"Schubert, Franz",D.367 (Op.5 No.5),IFS 405,D minor,"Etwas langsam
Text Incipit
Es war ein König in Thule",1816,1821,"Johann Wolfgang von Goethe
(1749-1832)",German,,Antonio Salieri,,Romantic,Romantic,"https://imslp.org/wiki/Der_K%C3%B6nig_in_Thule,_D.367_(Schubert,_Franz)"
Der Kreuzzug,,,,"Schubert, Franz",D.932,IFS 406,D major,"Ruhig und fromm
Text Incipit
Ein Münich steht in seiner Zell",1827,1832,"Karl Gottfried von Leitner
(1800-1890)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_Kreuzzug,_D.932_(Schubert,_Franz)"
"Kyrie in B
♭",,,,"Schubert, Franz",D.45,IFS 408,B-flat major,Andante con espressione,1813-03-01,1888,,Ancient Greek,,,,Romantic,Romantic,"https://imslp.org/wiki/Kyrie_in_B-flat_major,_D.45_(Schubert,_Franz)"
Kyrie in D minor,,,,"Schubert, Franz",D.31,IFS 409,D minor,Allegro,25 September 1812,1888,,Greek,,,,Romantic,Romantic,"https://imslp.org/wiki/Kyrie_in_D_minor,_D.31_(Schubert,_Franz)"
Kyrie in D minor,,,,"Schubert, Franz",D.49,IFS 410,D minor,Allegro,1813 April,1888,,Ancient Greek,,,,Romantic,Romantic,"https://imslp.org/wiki/Kyrie_in_D_minor,_D.49_(Schubert,_Franz)"
Kyrie in F,,,,"Schubert, Franz",D.66,IFS 411,F major,Larghetto,12 May 1813,1888,,Greek,,,,Romantic,Romantic,"https://imslp.org/wiki/Kyrie_in_F_major,_D.66_(Schubert,_Franz)"
"Labetrank der Liebe, D.302",,,,"Schubert, Franz",D.302,IFS 412,F major,Zart,1815 (15 October),1895,"Josef Ludwig Stoll
(1778-1815)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Labetrank_der_Liebe,_D.302_(Schubert,_Franz)"
Lachen und Weinen,,"Lachen und Weinen, D. 777","WorldCat
;
Wikipedia
;
LCCN
:
no2001032726","Schubert, Franz",D.777 ; Op.59 No.4,IFS 413,A-flat major,"Etwas geschwind
Text Incipit
Lachen und Weinen zu jeglicher Stunde",1823,1826,"Friedrich Rückert
(1788-1866)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lachen_und_Weinen,_D.777_(Schubert,_Franz)"
Lacrimoso son io,,,,"Schubert, Franz",D.131,IFS 414,A minor,,1815-08,1892,Anonymous,Italian,,,,Romantic,Romantic,"https://imslp.org/wiki/Lacrimoso_son_io,_D.131_(Schubert,_Franz)"
Lambertine,,,,"Schubert, Franz",D.301,IFS 415,E-flat major,"Langsam, mit Ausdruck
Text Incipit
O Liebe, die mein Herz erfüllet",1815 (12 October),1842,"Josef Ludwig Stoll
(1778-1815)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lambertine,_D.301_(Schubert,_Franz)"
11 Ländler in B-flat major,,,,"Schubert, Franz",D.374,IFS 936,B-flat major,11 dances,1816?,1902,,,,,7-8 minutes,Romantic,Romantic,"https://imslp.org/wiki/11_L%C3%A4ndler_in_B-flat_major,_D.374_(Schubert,_Franz)"
9 Ländler in D major,,,,"Schubert, Franz",D.370,IFS 937,D major,9 dances,1816,1930,,,,,6-7 minutes,Romantic,Romantic,"https://imslp.org/wiki/9_L%C3%A4ndler_in_D_major,_D.370_(Schubert,_Franz)"
2 Ländler in D-flat major,,,,"Schubert, Franz",D.980c (formerly D.680),IFS 900,D-flat major,2 sketches,1821 ante,1930,,,,,1-2 minutes,Romantic,Romantic,"https://imslp.org/wiki/2_L%C3%A4ndler_in_D-flat_major,_D.980c_(Schubert,_Franz)"
2 Ländler in E-flat major,,,,"Schubert, Franz",D.980b (formerly D.679),IFS 901,E-flat major,2 dances,1816?,1925,,,,,1 minute,Romantic,Romantic,"https://imslp.org/wiki/2_L%C3%A4ndler_in_E-flat_major,_D.980b_(Schubert,_Franz)"
8 Ländler in F-sharp minor,,,,"Schubert, Franz",D.355,IFS 938,F-sharp minor,8 dances,1816,1928,,,,,6-7 minutes,Romantic,Romantic,"https://imslp.org/wiki/8_L%C3%A4ndler_in_F-sharp_minor,_D.355_(Schubert,_Franz)"
"Ländler, D.366",,,,"Schubert, Franz",D.366,IFS 416,,17 ländler,,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/17_L%C3%A4ndler,_D.366_(Schubert,_Franz)"
Ländler,,,,"Schubert, Franz",D.378,IFS 417,,8 Ländler,,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/8_L%C3%A4ndler,_D.378_(Schubert,_Franz)"
12 Ländler,,,,"Schubert, Franz",D.681,IFS 885,,8 ländler (nos.1-4 are missing),1815 ca.,1930,,,,,4-5 minutes,Romantic,Romantic,"https://imslp.org/wiki/12_L%C3%A4ndler,_D.681_(Schubert,_Franz)"
4 Ländler,,,,"Schubert, Franz",D.814,IFS 418,,"4 dances:
E
♭
major
A
♭
major
C minor
C major",1824,1869,,,,,4 minutes,Romantic,Romantic,"https://imslp.org/wiki/4_L%C3%A4ndler,_D.814_(Schubert,_Franz)"
Die Laube,,,,"Schubert, Franz",D.214 (Op.172 No.2),IFS 419,A-flat major,"Mit Wehmuth, langsam
Text Incipit
Nimmer, nimmer werd ich dein vergeßen",1815 (17 June),1865,"Ludwig Christoph Heinrich Hölty
(1748-1776)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Laube,_D.214_(Schubert,_Franz)"
"Laura am Klavier, D.388",,,,"Schubert, Franz",D.388,IFS 420,"E major - 1st version
A major - 2nd version",Mässig,1816 (March),1895,"Friedrich Schiller
(1759–1805)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Laura_am_Klavier,_D.388_(Schubert,_Franz)"
Lazarus oder Die Feier der Auferstehung,,,,"Schubert, Franz",D.689,IFS 421,,Libretto originally had 3 acts; only act 1 and fragment of act 2 exist as set by Schubert,"1820 February
First Perf
ormance
.
1863",1866,"August Hermann Niemeyer
(1754-1828)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lazarus,_D.689_(Schubert,_Franz)"
"Das Leben ist ein Traum, D.269",,,,"Schubert, Franz",D.269,IFS 422,B-flat major,Ruhig,25 August 1815,1849,"Johann Christoph Wannovius
(1753-1814)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Das_Leben,_D.269_(Schubert,_Franz)"
Lebensbild,,,,"Schubert, Franz",D.425,"IFS 998
Text Incipit
Kommen und scheiden, suchen und meiden",,,1816,,"Friedrich von Matthisson
(1761-1831)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lebensbild,_D.425_(Schubert,_Franz)"
"Lebenslied, D.508",,,,"Schubert, Franz",D.508,IFS 423,C major,"Mässig geschwind
Text Incipit
Kommen und Scheiden, Suchen und Meiden",1816 (December),1845,"Friedrich von Matthisson
(1761-1831)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lebenslied,_D.508_(Schubert,_Franz)"
Lebenslied,,,,"Schubert, Franz",D.Anh.I/23,IFS 922,C major,Bewegt,1816,1974,"Friedrich von Matthisson
(1761-1831)",German,,,1-2 minutes,Romantic,Romantic,"https://imslp.org/wiki/Lebenslied,_D.Anh.I/23_(Schubert,_Franz)"
Lebensmelodien,,,,"Schubert, Franz",D.395 (Op.111 No.2),IFS 424,G major,"Mässig, ruhig",1816 (March),1829,"August Wilhelm Schlegel
(1767-1845)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lebensmelodien,_D.395_(Schubert,_Franz)"
Lebensmut,,,,"Schubert, Franz",D.883,IFS 425,B-flat major,"Ziemlich geschwind, doch kräftig",1826,1832,"Ernst Schulze
(1789-1817)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lebensmut,_D.883_(Schubert,_Franz)"
Lebensmut,,,,"Schubert, Franz",D.937,IFS 426,B-flat major,,1828,1872,"Ludwig Rellstab
(1799-1860)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lebensmut,_D.937_(Schubert,_Franz)"
Lebenstraum,,,,"Schubert, Franz",D.39,IFS 939,C major,"1 song (11 sections)
Text Incipit
Ich sass an einer Tempelhalle",1810?,1969,"Gabriele von Baumberg
(1768-1839)",German,,,8 minutes,Romantic,Romantic,"https://imslp.org/wiki/Lebenstraum,_D.39_(Schubert,_Franz)"
Leiden der Trennung,,,,"Schubert, Franz",D.509,IFS 427,G minor/B-flat major,"1 song
without tempo indication (1st version)
Etwas langsam (2nd version)
Text Incipit
Vom Meere trennt sich die Welle",1816 (December) (both versions),"1999 (1st version)
1872 (2nd version)","Heinrich von Collin
(1771-1811)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Leiden_der_Trennung,_D.509_(Schubert,_Franz)"
Der Leidende,,,,"Schubert, Franz",D.432,IFS 428,B minor (both versions),"Unruhig
Text Incipit
Nimmer trag' ich länger",1816,1850,"Unknown
formerly attributed to
Ludwig Christoph Heinrich Hölty
(1748-1776)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_Leidende,_D.432_(Schubert,_Franz)"
"Leise, leise lasst uns singen,
Ruhe",,,,"Schubert, Franz",D.635,IFS 964,C major,"Etwas langsam
Text Incipit
Leise, leise lasst uns singen",1819 ca.,1906-7,Anonymous,German,,,1 minute,Romantic,Romantic,"https://imslp.org/wiki/Leise,_leise_lasst_uns_singen,_D.635_(Schubert,_Franz)"
Liane,,,,"Schubert, Franz",D.298,IFS 429,C major,"Sehr langsam, zart",1815 (October),1895,"Johann Mayrhofer
(1787-1836)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Liane,_D.298_(Schubert,_Franz)"
Licht und Liebe,,,,"Schubert, Franz",D.352,IFS 430,G major,Langsam,1816,1847 ca.,"Matthäus von Collin
(1779-1824)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Licht_und_Liebe,_D.352_(Schubert,_Franz)"
Lieb Minna,,,,"Schubert, Franz",D.222,IFS 431,F minor,"Sehr langsam, schmerzlich",1815 (2 July),1885,"Albert Stadler
(1794-1888)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lieb_Minna,_D.222_(Schubert,_Franz)"
Die Liebe hat gelogen,,,,"Schubert, Franz",D.751 (Op.23 No.1),IFS 432,C minor,"Langsam
Text Incipit
Die Liebe hat gelogen",1822,1823,"August von Platen
(1796-1835)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Liebe_hat_gelogen,_D.751_(Schubert,_Franz)"
Liebe säuseln die Blätter,,,,"Schubert, Franz",D.988,IFS 433,G major,1 canon,ca.1815,1892,"Ludwig Christoph Heinrich Hölty
(1748–1796)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Liebe_s%C3%A4useln_die_Bl%C3%A4tter,_D.988_(Schubert,_Franz)"
Die Liebe,,,,"Schubert, Franz",D.210,IFS 434,B-flat major,"Sehr langsam
Text Incipit
Freudvoll und leidvoll",1815 (3 June),1838,"Johann Wolfgang von Goethe
(1749-1832)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Liebe,_D.210_(Schubert,_Franz)"
Die Liebe,,,,"Schubert, Franz",D.522,IFS 435,G major,Mässig,1817 (January),1895,"Gottlieb von Leon
(1757-1832)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Liebe,_D.522_(Schubert,_Franz)"
Die Liebende schreibt,,,,"Schubert, Franz",D.673 (2nd version published as Op.posth.165 No.1),IFS 436,"B-flat major (1st version)
A major (2nd version)","Mässig, zart - Etwas bewegter (both versions)
Text Incipit
Ein Blick von deinen Augen",1819 October (1st version),"1895 (1st version)
1832 (2nd version)","Johann Wolfgang von Goethe
(1749-1832)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Liebende_schreibt,_D.673_(Schubert,_Franz)"
Der Liebende,,,,"Schubert, Franz",D.207,IFS 437,B-flat major,Mit drängender Eile,1815 (29 May),1894,"Ludwig Christoph Heinrich Hölty
(1748-1776)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_Liebende,_D.207_(Schubert,_Franz)"
Die Liebesgötter,,,,"Schubert, Franz",D.446,IFS 438,C major,Zart,1816,1887,"Johann Peter Uz
(1720-1796)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Liebesg%C3%B6tter,_D.446_(Schubert,_Franz)"
Des Fräuleins Liebeslauschen,,,,"Schubert, Franz",D.698,IFS 439,A major,Andantino,1820,1832,"Franz Xaver von Schlechta
(1796-1875)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Liebeslauschen,_D.698_(Schubert,_Franz)"
Liebesrausch,,,,"Schubert, Franz",D.164,IFS 1003,G major,"1 song (no tempo indication)
Text Incipit
Dir, Mädchen, schlägt mit leisem Beben",1815 March,1965 ca.,"Theodor Körner
(1791-1813)",German,,,1 minute,Romantic,Romantic,"https://imslp.org/wiki/Liebesrausch,_D.164_(Schubert,_Franz)"
Liebesrausch,,,,"Schubert, Franz",D.179,IFS 440,G major,,1815-04-08,1872,"Theodor Körner
(1791-1813)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Liebesrausch,_D.179_(Schubert,_Franz)"
Liebeständelei,,,,"Schubert, Franz",D.206,IFS 441,E-flat major,Etwas gerschwind,1815 (26 May),1872,"Theodor Körner
(1791-1813)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Liebest%C3%A4ndelei,_D.206_(Schubert,_Franz)"
Liebhaber in allen Gestalten,,,,"Schubert, Franz",D.558,IFS 442,A major,Etwas lebhaft,1817,1887,"Johann Wolfgang von Goethe
(1749-1832)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Liebhaber_in_allen_Gestalten,_D.558_(Schubert,_Franz)"
Der liebliche Stern,,,,"Schubert, Franz",D.861,IFS 443,G major,"Etwas langsam
Text Incipit
Ihr Sternlein, still in der Höhe",1825 (December),1832,"Ernst Schulze
(1789-1817)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Der_liebliche_Stern,_D.861_(Schubert,_Franz)"
Lied aus der Ferne,,,,"Schubert, Franz",D.107,IFS 444,"E major (1st version)
D major (2nd version)","1 song
Allegretto (1st version)
Etwas geschwind (2nd version)
Text Incipit
Wenn in des Abends letztem Scheine","1814 July (1st version)
1816? (2nd version)","1894 (1st version)
1968 (2nd version)","Friedrich von Matthisson
(1761-1831)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lied_aus_der_Ferne,_D.107_(Schubert,_Franz)"
Lied beim Rundetanz,,,,"Schubert, Franz",D.Anh.I/18 (formerly D.132),IFS 923,C major,Fröhlich,1815-16?,1974,"Johann Gaudenz von Salis-Seewis
(1762-1834)",German,,,1-2 minutes,Romantic,Romantic,"https://imslp.org/wiki/Lied_beim_Rundetanz,_D.Anh.I/18_(Schubert,_Franz)"
Lied der Anne Lyle,,,,"Schubert, Franz",D.830; Op.85 No.1,IFS 445,C minor,Mässig,1825,1828,"Andrew MacDonald
(1757-1790), quoted by Sir
Walter Scott
(1771-1832)
Wilhelm Adolf Lindau
(1774-1849) translated into German",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lied_der_Anne_Lyle,_D.830_(Schubert,_Franz)"
Lied der Liebe,,,,"Schubert, Franz",D.109,IFS 446,F major,Allegretto,1814 (July),1894,"Friedrich von Matthisson
(1761-1831)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lied_der_Liebe,_D.109_(Schubert,_Franz)"
Lied des gefangenen Jägers,,,,"Schubert, Franz",D.843 (Op.52 No.7),IFS 447,D minor,"Etwas geschwind
Text Incipit
Mein Roß so müd in dem Stalle sich steht",1825 (April),1826,"Adam Storck
(1780–1822)
after
Lady of the Lake
by Sir
Walter Scott
(1771-1832)",German,,Der Gräfin Sophie von Weissenwolf,,Romantic,Romantic,"https://imslp.org/wiki/Lied_des_gefangenen_J%C3%A4gers,_D.843_(Schubert,_Franz)"
Orpheus,,,,"Schubert, Franz",D.474,IFS 448,G-flat major (both versions),"Mässig, mit Kraft",1816,1832,"Johann Georg Jacobi
(1740-1818)",German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lied_des_Orpheus,_als_er_in_die_H%C3%B6lle_ging,_D.474_(Schubert,_Franz)"
Lied eines Kindes,,,,"Schubert, Franz",D.596,IFS 449,B-flat major,"Nicht geschwind, lieblich",1817 (November),1895,Poet unknown,German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lied_eines_Kindes,_D.596_(Schubert,_Franz)"
Lied eines Kriegers,,,,"Schubert, Franz",D.822,IFS 450,A major,Lebhaft,1824 (31 December),1842,Poet unknown,German,,,,Romantic,Romantic,"https://imslp.org/wiki/Lied_eines_Kriegers,_D.822_(Schubert,_Franz)"
